id,Gene,baseMean,log2FoldChange,pvalue,padj,Biotype,Orthologous_human_gene
ENSDARG00000070491,hpcal4,95.82195914,0.265358499,0.194662827,0.543769549,protein_coding,HPCAL4
ENSDARG00000095094,fxyd6,324.7709779,0.238865742,0.194722145,0.543860685,protein_coding,FXYD6-FXYD2
ENSDARG00000021177,cept1b,1306.195998,-0.178052882,0.194767682,0.54391331,protein_coding,CEPT1
ENSDARG00000058522,shq1,283.9693525,-0.192819145,0.194844095,0.544052135,protein_coding,SHQ1
ENSDARG00000025071,brd8,1853.316933,0.1149245,0.194930013,0.544217459,protein_coding,BRD8
ENSDARG00000084958,5S_rRNA,11.46113399,-0.283808427,0.194962508,NA,rRNA,NA
ENSDARG00000003795,IDH2,22410.96685,-0.076650284,0.194965818,0.544242847,protein_coding,IDH2
ENSDARG00000037794,nptx2a,58.85287403,0.266875574,0.194979379,NA,protein_coding,NPTX2
ENSDARG00000087698,AL929558.4,43.93877965,-0.293745267,0.194984112,NA,protein_coding,NA
ENSDARG00000043410,xkr6,220.412619,0.18946973,0.195006265,0.544252519,protein_coding,XKR6
ENSDARG00000061773,neurlb,213.1241285,0.288265504,0.195033488,0.544252519,protein_coding,NEURL
ENSDARG00000087834,CR388145.3,80.20373853,-0.229171993,0.195045631,NA,pseudogene,NA
ENSDARG00000036473,SNAPC2,241.0902877,-0.256462335,0.195089046,0.544252519,protein_coding,SNAPC2
ENSDARG00000094101,si:dkey-122c11.8,278.0990533,-0.205674842,0.19511746,0.544252519,protein_coding,NA
ENSDARG00000060094,ptgis,410.9213633,-0.212726448,0.19512409,0.544252519,protein_coding,PTGIS
ENSDARG00000002333,fam102bb,406.2201861,0.177289104,0.195132178,0.544252519,protein_coding,FAM102B
ENSDARG00000087224,si:ch73-380n15.2,64.78936658,-0.257878091,0.195139492,NA,protein_coding,NA
ENSDARG00000090703,pdgfra,602.6847089,0.1097926,0.195156265,0.544252519,protein_coding,NA
ENSDARG00000035178,gna14,1006.649372,-0.174245488,0.195214063,0.5443392,protein_coding,NA
ENSDARG00000038981,zgc:153615,733.154494,0.206542031,0.195262735,0.544400415,protein_coding,SCHIP1
ENSDARG00000034195,top2b,7212.818905,-0.108138315,0.195426412,0.544776058,protein_coding,TOP2B
ENSDARG00000096382,neu3.1,860.9741094,-0.150141904,0.195450944,0.544776058,protein_coding,NEU3
ENSDARG00000073724,nlrx1,937.5639635,0.131940444,0.195569794,0.545017401,protein_coding,NLRX1
ENSDARG00000087652,tcf4,402.6678988,-0.146236871,0.195602865,0.545017401,protein_coding,TCF4
ENSDARG00000078354,slco1f2,22.51236852,-0.293636898,0.195621132,NA,protein_coding,SLCO1C1
ENSDARG00000094673,rhoab,4057.247904,-0.089010198,0.195627543,0.545017401,protein_coding,RHOA
ENSDARG00000018325,taf5,902.1640976,-0.114346097,0.195644529,0.545017401,protein_coding,TAF5
ENSDARG00000080273,SNORD15,1344.891328,0.093367956,0.195705475,0.545074612,snoRNA,NA
ENSDARG00000080188,SNORD65,14.16612327,-0.288709013,0.195733611,NA,snoRNA,NA
ENSDARG00000039048,CABZ01061890.1,329.1421422,0.28676962,0.195743825,0.545074612,protein_coding,ALPL
ENSDARG00000094860,-,262.5320403,0.24565354,0.195745322,0.545074612,protein_coding,GPR3
ENSDARG00000041750,CCDC92,242.799283,0.208287139,0.19577506,0.545082924,protein_coding,CCDC92
ENSDARG00000059418,RICTOR (2 of 3),56.07240598,-0.269009039,0.195810612,NA,protein_coding,RICTOR
ENSDARG00000057741,nr1h4,411.3805513,-0.219320016,0.195822034,0.545098327,protein_coding,NR1H4
ENSDARG00000060093,DAPK1,1070.524222,0.13801095,0.195834098,0.545098327,protein_coding,DAPK1
ENSDARG00000090013,C17H15orf52,673.7806782,-0.107173524,0.195912391,0.545241765,protein_coding,C15orf52
ENSDARG00000017388,gstt1b,2439.648891,-0.142054723,0.196004111,0.545422531,protein_coding,GSTT1
ENSDARG00000091799,FAM217B (2 of 2),149.3591665,0.265229426,0.196050617,0.545477444,protein_coding,FAM217B
ENSDARG00000090674,-,77.58464012,0.253568753,0.196090725,NA,protein_coding,TRAK1
ENSDARG00000043235,sox4b,996.3012334,-0.121998234,0.196138906,0.545648581,protein_coding,SOX4
ENSDARG00000059469,tefm,574.0939184,-0.158794364,0.196262666,0.545918336,protein_coding,TEFM
ENSDARG00000063475,abcg1,211.9158268,0.170218593,0.196312478,0.545972867,protein_coding,ABCG1
ENSDARG00000020812,-,17.96090122,0.293618492,0.196349776,NA,protein_coding,MAG
ENSDARG00000002797,BX908804.1,13.45246421,0.190294617,0.196358566,NA,protein_coding,NA
ENSDARG00000055400,ELMO1,267.7793019,0.210516533,0.196360283,0.545972867,protein_coding,ELMO1
ENSDARG00000086979,CR388231.2,129.3724024,-0.205376115,0.196387095,0.545972867,protein_coding,NA
ENSDARG00000054076,tatdn3,114.5033135,0.235738801,0.196389455,0.545972867,processed_transcript,NA
ENSDARG00000077652,LRAT,66.13156022,0.251244324,0.196518291,NA,protein_coding,LRAT
ENSDARG00000070485,CORT,350.507277,-0.181282915,0.196598613,0.546479774,protein_coding,APITD1
ENSDARG00000039117,tefa,1545.479661,0.155905346,0.196633028,0.546500878,protein_coding,TEF
ENSDARG00000087463,TRPC3,9.152445581,-0.271268014,0.196658006,NA,protein_coding,TRPC3
ENSDARG00000011693,ttc36,1118.581526,-0.129681374,0.196730481,0.546621648,protein_coding,TTC36
ENSDARG00000089456,men1,765.3066614,0.227751766,0.196741479,0.546621648,protein_coding,MEN1
ENSDARG00000058041,ndufa8,2693.097759,-0.098858204,0.196756965,0.546621648,protein_coding,NDUFA8
ENSDARG00000017571,mccc2,4565.550581,-0.117086636,0.196792799,0.546627245,protein_coding,MCCC2
ENSDARG00000068993,zgc:153631,708.5810384,-0.149172264,0.196812637,0.546627245,protein_coding,TNFRSF14
ENSDARG00000077479,CU695006.1,14.93379478,0.264988754,0.196844071,NA,protein_coding,MSH5
ENSDARG00000028581,jkamp,565.2905628,0.127469076,0.196869403,0.546710385,protein_coding,JKAMP
ENSDARG00000004745,lmbr1l,1088.092149,0.223825368,0.196902659,0.546719047,protein_coding,LMBR1L
ENSDARG00000057863,dnmt5,588.065496,-0.198039384,0.196926188,0.546719047,protein_coding,DNMT3B
ENSDARG00000027749,hirip3,1193.718219,-0.120824604,0.197004871,0.546862976,protein_coding,HIRIP3
ENSDARG00000037025,nr3c2,1319.930371,-0.157298158,0.197088032,0.547019296,protein_coding,NR3C2
ENSDARG00000092299,si:ch211-207l22.2,7.399561859,-0.196552012,0.197188304,NA,processed_transcript,NA
ENSDARG00000075632,rad9b,19.82897863,0.290853996,0.197203077,NA,protein_coding,RAD9B
ENSDARG00000009438,myog,1999.49912,0.147792205,0.197242342,0.547373022,protein_coding,MYOG
ENSDARG00000070380,AL954173.3,9.724399319,-0.255076457,0.197247401,NA,protein_coding,NA
ENSDARG00000069074,cry2a,20654.70243,0.103711885,0.197310049,0.547486346,protein_coding,CRY1
ENSDARG00000035570,C5H9orf85,537.5111863,-0.127079868,0.197393779,0.547585537,protein_coding,C9orf85
ENSDARG00000058015,ano3,972.0132891,0.138845225,0.197399547,0.547585537,protein_coding,ANO3
ENSDARG00000089919,si:ch211-161h7.8,819.6060044,-0.137647582,0.19755586,0.547944549,protein_coding,TSTD1
ENSDARG00000076787,ANGPT4,544.1902035,0.161116762,0.19763376,0.548003665,protein_coding,ANGPT4
ENSDARG00000007383,kcnk6,1071.622002,0.121262396,0.197653823,0.548003665,protein_coding,KCNK6
ENSDARG00000044404,pars2,145.8860423,-0.245919182,0.197657862,0.548003665,protein_coding,PARS2
ENSDARG00000074738,pcdh2g9,62.35430526,0.25337777,0.197711687,NA,protein_coding,PCDHB1
ENSDARG00000057403,si:ch211-209j10.5,1597.69656,-0.103016923,0.197754011,0.548195644,processed_transcript,NA
ENSDARG00000026757,rnf168,579.20097,-0.173988511,0.19783611,0.54830572,protein_coding,RNF168
ENSDARG00000093627,si:ch211-86h15.3,1938.660808,0.149678322,0.197847541,0.54830572,processed_transcript,NA
ENSDARG00000079744,ARHGAP30 (2 of 2),20.38916674,-0.291465043,0.197856145,NA,protein_coding,ARHGAP30
ENSDARG00000016724,C15H11orf57,255.3596213,0.164543343,0.197909499,0.548339462,protein_coding,C11orf57
ENSDARG00000033259,DIS3L2,1179.961695,-0.133082652,0.197913541,0.548339462,protein_coding,DIS3L2
ENSDARG00000051746,cecr1a,533.1140087,0.24092112,0.197957385,0.548366867,protein_coding,CECR1
ENSDARG00000093572,lamc3,2894.638629,-0.088331,0.197985848,0.548366867,protein_coding,LAMC3
ENSDARG00000094793,ovch2,8.993314167,-0.283763297,0.19799716,NA,protein_coding,OVCH1
ENSDARG00000087008,FRMPD1 (2 of 6),118.0672658,-0.253057275,0.198020186,0.548366867,protein_coding,FRMPD1
ENSDARG00000006642,drg2,1818.121762,-0.226713562,0.198031087,0.548366867,protein_coding,DRG2
ENSDARG00000090563,AL929507.3,8.536298862,-0.192245219,0.198094978,NA,pseudogene,NA
ENSDARG00000093466,taar10d,8.536298862,-0.192245219,0.198094978,NA,protein_coding,NA
ENSDARG00000022340,ufc1,968.8407647,-0.213243889,0.198116178,0.548527942,protein_coding,UFC1
ENSDARG00000056400,helt,33.5754276,0.292461251,0.198165527,NA,protein_coding,HELT
ENSDARG00000088409,DACT3 (2 of 2),253.3768204,-0.174833172,0.198184333,0.548642091,protein_coding,DACT3
ENSDARG00000059634,thumpd3,935.0865984,-0.225936706,0.198260625,0.548760673,protein_coding,THUMPD3
ENSDARG00000008279,map2k7,225.959431,-0.176778959,0.198281034,0.548760673,protein_coding,MAP2K7
ENSDARG00000014287,eno2,1742.009358,0.182049327,0.198308632,0.548762512,protein_coding,ENO2
ENSDARG00000055183,etv1,156.7538187,0.248479943,0.198347177,0.548794641,protein_coding,ETV1
ENSDARG00000096011,si:dkeyp-4f2.3,107.6216399,0.287790693,0.198505343,0.54915421,protein_coding,NA
ENSDARG00000028163,prg4b,1367.467455,0.119497384,0.198531038,0.54915421,protein_coding,PRG4
ENSDARG00000013690,RIMS1 (2 of 2),91.98047042,0.24655784,0.198545186,NA,protein_coding,RIMS1
ENSDARG00000090684,CABZ01058041.1,58.22971639,-0.269288252,0.198554582,NA,protein_coding,PRKD3
ENSDARG00000039007,eno3,35381.57307,0.117740803,0.198563862,0.549170447,protein_coding,ENO3
ENSDARG00000069855,pnisr,4843.370888,0.079791857,0.198635965,0.549287879,protein_coding,PNISR
ENSDARG00000090876,TMEM184B (3 of 3),276.4292918,0.194064529,0.198663483,0.549287879,protein_coding,TMEM184B
ENSDARG00000059367,mfap2,6508.775404,-0.083382296,0.198722171,0.549287879,protein_coding,MFAP2
ENSDARG00000079938,zgc:173594,1265.156851,0.22439485,0.198723983,0.549287879,protein_coding,FTH1
ENSDARG00000091651,BX005156.1,18.07189218,-0.292781755,0.198758243,NA,protein_coding,NA
ENSDARG00000079249,OGDHL,299.1205337,0.226139635,0.198769482,0.549287879,protein_coding,OGDHL
ENSDARG00000067546,-,54.17998581,0.259322211,0.198784038,NA,protein_coding,FAM109A
ENSDARG00000016173,cct3,15052.2945,-0.146888899,0.198791422,0.549287879,protein_coding,CCT3
ENSDARG00000078114,CFP (1 of 2),1126.210826,-0.260848163,0.198795034,0.549287879,protein_coding,CFP
ENSDARG00000016904,bckdk,3560.364463,-0.097410331,0.198883455,0.549420371,protein_coding,BCKDK
ENSDARG00000014292,med15,1180.640576,-0.088744444,0.198896916,0.549420371,protein_coding,MED15
ENSDARG00000011581,LRRC31 (8 of 15),1220.855679,0.222742441,0.198962419,0.549526812,protein_coding,NA
ENSDARG00000093502,si:dkey-3h2.4,159.0956671,0.269677364,0.19907647,0.549749167,protein_coding,NA
ENSDARG00000055969,rfc3,970.9898959,-0.162389481,0.199096888,0.549749167,protein_coding,RFC3
ENSDARG00000069435,ccdc147,97.97913003,0.234197786,0.199183665,0.549914251,protein_coding,CCDC147
ENSDARG00000051874,stra6,785.8908924,-0.121606701,0.199363573,0.550336376,protein_coding,STRA6
ENSDARG00000017115,kctd10,1921.82544,-0.113067483,0.199412635,0.550359523,protein_coding,KCTD10
ENSDARG00000095991,si:ch211-199c19.4,100.1135488,0.228010503,0.199435962,0.550359523,lincRNA,NA
ENSDARG00000035350,ins,934.9488361,0.174973649,0.199452992,0.550359523,protein_coding,INS-IGF2
ENSDARG00000045853,rad51ap1,328.9412509,-0.145442906,0.199484764,0.550372657,protein_coding,RAD51AP1
ENSDARG00000078981,faxcb,393.9239761,0.18649646,0.199662874,0.550691433,protein_coding,FAXC
ENSDARG00000023498,gmppab,1028.200493,-0.150236061,0.199685405,0.550691433,protein_coding,GMPPA
ENSDARG00000076495,vwc2,58.54099164,0.26498192,0.199692738,NA,protein_coding,VWC2
ENSDARG00000025535,clint1a,4535.474109,-0.12029822,0.199700872,0.550691433,protein_coding,CLINT1
ENSDARG00000044146,lrrc8db,479.1087841,0.144242062,0.199737394,0.550691433,protein_coding,LRRC8D
ENSDARG00000094694,si:dkey-222f2.6,20.78605123,0.290906595,0.199747119,NA,processed_transcript,NA
ENSDARG00000071450,tdrd5,48.72285953,0.288991664,0.199751252,NA,protein_coding,TDRD5
ENSDARG00000008068,tma16,437.2805742,-0.169247676,0.199758809,0.550691433,protein_coding,TMA16
ENSDARG00000089724,CR548630.3,780.1208599,0.194112548,0.199777218,0.550691433,protein_coding,CYLD
ENSDARG00000056058,RYR2 (2 of 2),185.9437268,0.249767632,0.199789501,0.550691433,protein_coding,RYR2
ENSDARG00000088796,si:dkey-30g5.5,10.42546397,-0.279960454,0.19982959,NA,processed_transcript,NA
ENSDARG00000081209,CU634003.1,16.60021629,-0.290903793,0.199837475,NA,miRNA,NA
ENSDARG00000075713,shox2,151.2218216,0.275535307,0.200025731,0.551111647,protein_coding,SHOX2
ENSDARG00000092915,si:ch211-171l17.4,545.5842327,-0.156339585,0.200040842,0.551111647,protein_coding,NA
ENSDARG00000060445,elp6,287.0519234,-0.201240514,0.200073761,0.551111647,protein_coding,ELP6
ENSDARG00000091010,AL929029.1,285.1644687,-0.160174503,0.20008268,0.551111647,protein_coding,NA
ENSDARG00000021046,RHBDD1,227.3607526,0.202155245,0.200108503,0.551111647,protein_coding,RHBDD1
ENSDARG00000058679,-,329.2114071,-0.179671176,0.20011164,0.551111647,protein_coding,ZMAT1
ENSDARG00000089725,5S_rRNA,16.41267733,0.233954403,0.200125303,NA,rRNA,NA
ENSDARG00000073820,zgc:174917,585.1432868,-0.22656855,0.200131292,0.551111647,protein_coding,NA
ENSDARG00000024017,mamdc1,592.6635651,-0.136263263,0.200182967,0.551179453,protein_coding,MDGA2
ENSDARG00000043480,RBBP8,311.4329873,-0.253949451,0.200231629,0.551238947,protein_coding,RBBP8
ENSDARG00000067545,adam19b,777.1188299,-0.146297137,0.20026436,0.551253167,protein_coding,ADAM19
ENSDARG00000035761,mcm7,4750.857599,-0.154905162,0.200322437,0.551253167,protein_coding,MCM7
ENSDARG00000056847,si:dkey-27c15.3,759.7930439,0.104736931,0.20032862,0.551253167,protein_coding,GON4L
ENSDARG00000054898,si:ch73-132m10.4,3206.301987,0.204151902,0.200345016,0.551253167,protein_coding,MS4A2
ENSDARG00000090996,PARM1,751.8950028,-0.1712957,0.200412728,0.55136502,protein_coding,PARM1
ENSDARG00000005908,clk4b,1344.727979,0.103447787,0.200453665,0.55140319,protein_coding,CLK4
ENSDARG00000091897,si:dkey-187a12.4,121.3911509,0.278404893,0.200579193,0.551443304,protein_coding,NA
ENSDARG00000084925,5S_rRNA,38.66590757,-0.269201192,0.200621017,NA,rRNA,NA
ENSDARG00000094364,zgc:174642,77.62730531,0.270614726,0.200624904,NA,protein_coding,NA
ENSDARG00000087663,C24H16orf11,110.70503,0.202675949,0.200630281,0.551443304,protein_coding,C16orf11
ENSDARG00000043665,glrx5,1362.803595,-0.128630468,0.200648092,0.551443304,protein_coding,GLRX5
ENSDARG00000004169,stmn1a,4794.577332,-0.172280811,0.200682185,0.551443304,protein_coding,STMN1
ENSDARG00000061508,tgfbrap1,326.5934666,-0.178767968,0.200691613,0.551443304,protein_coding,TGFBRAP1
ENSDARG00000030975,CCDC80 (2 of 2),825.3412378,-0.129450319,0.200694791,0.551443304,protein_coding,CCDC80
ENSDARG00000093559,si:dkey-1b17.9,119.324276,0.225137853,0.200700105,0.551443304,protein_coding,NA
ENSDARG00000027689,pold1,2323.81794,-0.181608247,0.200720686,0.551443304,protein_coding,POLD1
ENSDARG00000004262,cyp46a2,717.1504483,-0.275548997,0.200739231,0.551443304,protein_coding,CYP46A1
ENSDARG00000004529,si:dkey-204j6.1,63.85368072,0.265611306,0.20074379,NA,protein_coding,TOP1MT
ENSDARG00000091923,si:dkey-233h12.4,9.990401312,-0.247107043,0.200747143,NA,processed_transcript,NA
ENSDARG00000086792,zgc:113295,1627.953406,0.145689114,0.200755106,0.551443304,protein_coding,NA
ENSDARG00000010432,eaf2,997.6920069,-0.211324537,0.20076596,0.551443304,protein_coding,EAF2
ENSDARG00000096059,si:dkeyp-85d8.3,9.496469774,-0.182405526,0.200833343,NA,protein_coding,NA
ENSDARG00000021573,slc16a7,632.1500738,0.21802231,0.200839762,0.55157166,protein_coding,SLC16A7
ENSDARG00000046053,slc27a6,629.8767967,0.278656169,0.200873226,0.551589217,protein_coding,SLC27A6
ENSDARG00000089815,5S_rRNA,12.38601518,0.232526059,0.20087535,NA,rRNA,NA
ENSDARG00000013240,zgc:172271,704.3835617,-0.119582425,0.200905455,0.551603374,protein_coding,MFI2
ENSDARG00000011020,zgc:66127,14759.98954,-0.103785283,0.201000669,0.551749252,protein_coding,HNRNPA1
ENSDARG00000067752,pigl,324.8451634,0.171901823,0.201012746,0.551749252,protein_coding,PIGL
ENSDARG00000011449,fes,253.2256242,0.199234337,0.201043699,0.551759882,protein_coding,FES
ENSDARG00000037514,hdac3,1688.826396,-0.106867799,0.201154844,0.551990565,protein_coding,HDAC3
ENSDARG00000027310,BX004812.1,16084.88119,0.112945269,0.201208863,0.552064446,protein_coding,CALD1
ENSDARG00000060981,SIKE1,598.6617341,-0.229781207,0.201296481,0.552212913,protein_coding,SIKE1
ENSDARG00000026611,socs3b,1766.577886,0.18803908,0.201317179,0.552212913,protein_coding,SOCS3
ENSDARG00000070442,si:ch211-113g11.6,1114.520058,0.188724416,0.201374067,0.552251671,protein_coding,SEMA7A
ENSDARG00000004131,rttn,655.6830014,-0.172543765,0.201409549,0.552251671,protein_coding,RTTN
ENSDARG00000088861,si:ch211-209p16.3,985.1196789,-0.227267384,0.201441687,0.552251671,protein_coding,ZNF91
ENSDARG00000008976,mdn1,2251.722503,-0.161192299,0.201471725,0.552251671,protein_coding,MDN1
ENSDARG00000004696,eefsec,595.1324448,-0.175852886,0.20149692,0.552251671,protein_coding,EEFSEC
ENSDARG00000054867,hibch,2170.981623,-0.144565576,0.201520637,0.552251671,protein_coding,HIBCH
ENSDARG00000024092,lmbr1,1156.636545,0.191773916,0.201538022,0.552251671,protein_coding,LMBR1
ENSDARG00000022045,MAP1A (2 of 2),1736.59182,-0.181948948,0.201548144,0.552251671,protein_coding,MAP1A
ENSDARG00000084090,5S_rRNA,17.66667884,-0.277354021,0.201610222,NA,rRNA,NA
ENSDARG00000044815,SERINC4,149.4248218,0.224564476,0.201668986,0.552477168,protein_coding,RP11-296A16.1
ENSDARG00000045658,msrb3,2276.603988,-0.123232877,0.201712229,0.552477168,protein_coding,MSRB3
ENSDARG00000036629,rps14,37076.91136,0.06162731,0.201726375,0.552477168,protein_coding,RPS14
ENSDARG00000055502,cicb,3477.152763,0.098570624,0.201745287,0.552477168,protein_coding,CIC
ENSDARG00000014946,ANGPT2,154.7670896,0.207681922,0.201782051,0.552477168,protein_coding,ANGPT2
ENSDARG00000042005,elp3,698.0818957,-0.165229621,0.201797579,0.552477168,protein_coding,ELP3
ENSDARG00000061532,C25H15orf27,322.17413,0.207835217,0.201835558,0.552477168,protein_coding,C15orf27
ENSDARG00000076054,zgc:174694,1388.629299,-0.11646663,0.201847364,0.552477168,protein_coding,NA
ENSDARG00000068094,fgf3,80.76519251,-0.22153871,0.201900656,NA,protein_coding,FGF3
ENSDARG00000055559,chrna6,182.8669603,0.211774379,0.201918895,0.552598721,protein_coding,CHRNA6
ENSDARG00000092755,AL807792.1,13.5453555,0.274121881,0.202041532,NA,pseudogene,NA
ENSDARG00000079525,slc39a5,68.98048676,-0.266848738,0.202064459,NA,protein_coding,SLC39A5
ENSDARG00000030778,BX323854.2,31.97158478,0.267939236,0.202126943,NA,protein_coding,NA
ENSDARG00000036483,c1ql3b,81.30449915,-0.260876844,0.202168509,NA,protein_coding,C1QL3
ENSDARG00000093796,itln2,228.0733495,-0.283169018,0.202171721,0.55288118,protein_coding,ITLN1
ENSDARG00000055563,rnasen,1093.716617,-0.168308538,0.202186354,0.55288118,protein_coding,DROSHA
ENSDARG00000040614,sestd1,2837.125702,-0.10895073,0.202194159,0.55288118,protein_coding,SESTD1
ENSDARG00000095252,si:dkey-40h20.1,154.1243495,-0.276424872,0.202202358,0.55288118,protein_coding,NA
ENSDARG00000008732,zgc:66479,1741.236512,-0.20264123,0.202210204,0.55288118,protein_coding,NA
ENSDARG00000020467,safb,6145.767458,-0.154215071,0.202234127,0.55288118,protein_coding,SAFB2
ENSDARG00000071552,desi1b,738.9938505,0.115562137,0.202249395,0.55288118,protein_coding,DESI1
ENSDARG00000029036,rab32a,380.2229791,-0.12618786,0.202268398,0.55288118,protein_coding,RAB32
ENSDARG00000077559,NCOA7 (2 of 2),1134.978796,-0.258472981,0.202271637,0.55288118,protein_coding,NCOA7
ENSDARG00000003151,skp1,6918.754189,-0.077464744,0.202293458,0.55288118,protein_coding,SKP1
ENSDARG00000093083,si:dkey-203o21.2,10.1464236,0.274654214,0.202327063,NA,processed_transcript,NA
ENSDARG00000074487,CR762483.1,223.6890892,-0.247315034,0.202387083,0.553024626,protein_coding,NA
ENSDARG00000033707,phf17,1209.829148,0.122068413,0.202400228,0.553024626,protein_coding,PHF17
ENSDARG00000037980,tceb2,6198.616525,-0.077651339,0.202523798,0.553288064,protein_coding,NA
ENSDARG00000040045,cldn1,710.1658216,0.124335384,0.202555411,0.55330024,protein_coding,CLDN1
ENSDARG00000086768,dut,2346.006568,-0.160074897,0.202627774,0.553376559,protein_coding,DUT
ENSDARG00000021065,camk2b2,268.9316362,0.24697205,0.202664445,0.553376559,protein_coding,CAMK2B
ENSDARG00000034693,mysm1,544.6368927,0.144974371,0.202664829,0.553376559,protein_coding,MYSM1
ENSDARG00000090871,ZNF793 (1 of 2),332.3254833,-0.154787508,0.202834923,0.553766791,protein_coding,ZNF793
ENSDARG00000089523,LRRC30 (2 of 2),128.0797963,-0.220891951,0.202941772,0.553928897,protein_coding,LRRC30
ENSDARG00000053210,psd3l,2964.472417,0.094432549,0.202948673,0.553928897,protein_coding,PSD3
ENSDARG00000060539,SHANK1 (1 of 2),851.0320334,0.190519938,0.203033613,0.554018418,protein_coding,SHANK1
ENSDARG00000055159,cyp27a1.4,537.1714078,0.208570019,0.203054662,0.554018418,protein_coding,CYP27A1
ENSDARG00000004687,acaa1,3313.394539,-0.17888241,0.203067603,0.554018418,protein_coding,ACAA1
ENSDARG00000055332,si:dkey-28d5.11,34.0353376,-0.288998936,0.203081153,NA,protein_coding,NA
ENSDARG00000056462,crp2,813.4649586,0.281594938,0.203090236,0.554018418,protein_coding,CRP
ENSDARG00000087256,FP016207.1,31.96172656,0.289937654,0.203186836,NA,protein_coding,NA
ENSDARG00000077608,GPR137B (3 of 3),76.73473054,0.279830333,0.20318863,NA,protein_coding,GPR137B
ENSDARG00000079133,si:dkey-10c21.1,209.096102,-0.167945595,0.203202263,0.554157007,protein_coding,NA
ENSDARG00000045096,ostf1,1958.106872,0.194224961,0.203214096,0.554157007,protein_coding,OSTF1
ENSDARG00000089519,FBLN7,155.2435551,-0.212045894,0.203222633,0.554157007,protein_coding,FBLN7
ENSDARG00000087946,UNC13C (3 of 4),63.06382943,0.269707116,0.203275773,NA,protein_coding,UNC13C
ENSDARG00000076250,rasef,201.3282911,-0.168720661,0.203277525,0.554232515,protein_coding,RASEF
ENSDARG00000071889,pcdh2g8,67.64148055,0.247175359,0.203367373,NA,protein_coding,PCDHB7
ENSDARG00000086762,DFNA5 (2 of 2),249.1912016,0.216018809,0.203406137,0.554493182,protein_coding,DFNA5
ENSDARG00000075198,7-Sep,930.1138409,-0.099987674,0.20342756,0.554493182,protein_coding,7-Sep
ENSDARG00000053954,cyb5b,1563.63031,-0.250441946,0.203529456,0.55465163,protein_coding,CYB5B
ENSDARG00000059270,ppie,139.3322947,-0.201413593,0.203540134,0.55465163,protein_coding,PPIE
ENSDARG00000084871,5S_rRNA,9.90894206,0.258604877,0.203584684,NA,rRNA,NA
ENSDARG00000041399,CR788255.1,77.62475276,0.268459759,0.203619771,NA,protein_coding,EMR2
ENSDARG00000069321,fam169b,99.06019994,-0.242109812,0.203645197,0.554705573,protein_coding,FAM169B
ENSDARG00000056461,BX004816.2,390.1698004,-0.129635906,0.203661148,0.554705573,protein_coding,GIMAP5
ENSDARG00000075140,CR318653.1,134.0802195,-0.217091984,0.2036691,0.554705573,protein_coding,SAT2
ENSDARG00000070254,CR762436.2,12.5420884,0.288936354,0.203675415,NA,protein_coding,HIST1H2BD
ENSDARG00000043482,B3GNT3 (4 of 4),14.09626043,-0.231855981,0.203684319,NA,protein_coding,B3GNT3
ENSDARG00000078664,CABZ01080599.1,14.79794528,-0.283527715,0.203706885,NA,protein_coding,NA
ENSDARG00000079779,-,157.0287655,-0.224864812,0.203729022,0.554705573,protein_coding,RADIL
ENSDARG00000011246,krr1,469.55951,-0.187194026,0.203770859,0.554705573,protein_coding,KRR1
ENSDARG00000077021,calhm1,16.63712527,0.288579546,0.203804236,NA,protein_coding,CALHM1
ENSDARG00000088493,AL929195.1,151.9779139,0.244943841,0.203822457,0.554705573,protein_coding,WDPCP
ENSDARG00000008703,apeh,660.4810801,-0.123182456,0.203874897,0.554705573,protein_coding,APEH
ENSDARG00000074059,dlg5a,2378.958762,-0.085297732,0.203882199,0.554705573,protein_coding,DLG5
ENSDARG00000067920,rab8a,1774.213438,-0.167294882,0.203900828,0.554705573,protein_coding,RAB8A
ENSDARG00000042747,coasy,841.8759136,-0.099067804,0.203907995,0.554705573,protein_coding,COASY
ENSDARG00000074680,rims1a,974.8148417,0.183153799,0.203924508,0.554705573,protein_coding,RIMS1
ENSDARG00000095566,si:ch211-188m17.3,16.57546345,0.286374144,0.203961652,NA,processed_transcript,NA
ENSDARG00000019300,ints7,808.8561492,-0.115815276,0.203982676,0.554705573,protein_coding,INTS7
ENSDARG00000090422,SHROOM3 (1 of 2),386.9512712,0.146988774,0.203982755,0.554705573,protein_coding,SHROOM3
ENSDARG00000091267,CMAS (2 of 3),45.00261321,0.287313746,0.204030548,NA,protein_coding,CMAS
ENSDARG00000086150,wrap53,499.0381001,-0.162711204,0.204030815,0.554705573,protein_coding,WRAP53
ENSDARG00000091114,ACTN4,2603.299399,-0.122130884,0.204040985,0.554705573,protein_coding,ACTN4
ENSDARG00000035163,tmem136,156.3789286,0.288637106,0.204051539,0.554705573,protein_coding,TMEM136
ENSDARG00000036344,calb2b,866.0376067,0.154863125,0.204063803,0.554705573,protein_coding,CALB2
ENSDARG00000001785,irx2a,234.4681809,-0.192345425,0.204068438,0.554705573,protein_coding,IRX2
ENSDARG00000043446,efhd1,814.9364237,0.107343058,0.204077201,0.554705573,protein_coding,EFHD1
ENSDARG00000052454,rhpn1,74.64481607,0.224134005,0.20412298,NA,protein_coding,RHPN1
ENSDARG00000035773,TOX2,900.074988,0.133990671,0.20414387,0.554812771,protein_coding,TOX2
